	prefix	input_text	target_text
30	translate hindi to english	वित्त वर्ष 2018-19 के दौरान औसत मासिक जीएसटी संग्रह 98,114 करोड़ रुपये रहा।	The monthly average of GST revenue during 2018-19 is Rs 98,114 crore, 9.2% higher than the previous fiscal
31	translate english to hindi	The monthly average of GST revenue during 2018-19 is Rs 98,114 crore, 9.2% higher than the previous fiscal	वित्त वर्ष 2018-19 के दौरान औसत मासिक जीएसटी संग्रह 98,114 करोड़ रुपये रहा।
32	translate hindi to english	पोत, जहाज एवं समुद्र संबंधी अवसंरचना इनमें मुख्य है।	Port, Shipping and Maritime infrastructure is prominent among them.
33	translate english to hindi	Port, Shipping and Maritime infrastructure is prominent among them.	पोत, जहाज एवं समुद्र संबंधी अवसंरचना इनमें मुख्य है।
34	translate hindi to english	वर्तमान की निम्न कार पैठ, बढ़ती समृद्धि एवं निजी वाहनों की बढ़ती वहनीयता के कारण ऑटोमोबाइल उद्योग का देश में और तेज गति से बढ़ना तय है	Given the current low car penetration, rising prosperity and the increasing affordability of private vehicles, the automobile industry is poised to grow even faster in India. These vehicles need to be transported to the far flung areas of the country
35	translate english to hindi	Given the current low car penetration, rising prosperity and the increasing affordability of private vehicles, the automobile industry is poised to grow even faster in India. These vehicles need to be transported to the far flung areas of the country	वर्तमान की निम्न कार पैठ, बढ़ती समृद्धि एवं निजी वाहनों की बढ़ती वहनीयता के कारण ऑटोमोबाइल उद्योग का देश में और तेज गति से बढ़ना तय है
36	translate hindi to english	उन्हें ताला लगा कर आलमारी में रखना चाहिए (आलमारी के सबसे ऊपर वाले हिस्से में),	Keep them in a locked cabinet, well out of reach (eg on top of awardrobe)
37	translate english to hindi	Keep them in a locked cabinet, well out of reach (eg on top of awardrobe)	उन्हें ताला लगा कर आलमारी में रखना चाहिए (आलमारी के सबसे ऊपर वाले हिस्से में),
38	translate hindi to english	वे चाहते हैं कि भारत का बंटवारा हो.	They want to divide India.
39	translate english to hindi	They want to divide India.	वे चाहते हैं कि भारत का बंटवारा हो.
40	translate hindi to english	इंग्लैंड की टीम को पहला झटका भारतीय तेज गेंदबाज भुवनेश्वर कुमार ने दिया।	Bhuvneshwar Kumar opens the bowling for India.
41	translate english to hindi	Bhuvneshwar Kumar opens the bowling for India.	इंग्लैंड की टीम को पहला झटका भारतीय तेज गेंदबाज भुवनेश्वर कुमार ने दिया।
42	translate hindi to english	वीपीआरपी स्वयं सहायता समूह (एसएचजी) नेटवर्क एवं उनके संघों द्वारा उनकी मांगों एवं स्थानीय क्षेत्र विकास, जिन्हें प्रकल्पित करने के लिए ग्राम पंचायत विकास योजनाओं (जीपीडीपी) के साथ समेकित किए जाने की आवश्यकता है, द्वारा तैयार एक व्यापक मांग योजना है	VPRP is a comprehensive demand plan prepared by the Self Help Group (SHG) network and their federations for projecting their demands and local area development which needs to be integrated with the Gram Panchayat Development Plan (GPDP)
43	translate english to hindi	VPRP is a comprehensive demand plan prepared by the Self Help Group (SHG) network and their federations for projecting their demands and local area development which needs to be integrated with the Gram Panchayat Development Plan (GPDP)	वीपीआरपी स्वयं सहायता समूह (एसएचजी) नेटवर्क एवं उनके संघों द्वारा उनकी मांगों एवं स्थानीय क्षेत्र विकास, जिन्हें प्रकल्पित करने के लिए ग्राम पंचायत विकास योजनाओं (जीपीडीपी) के साथ समेकित किए जाने की आवश्यकता है, द्वारा तैयार एक व्यापक मांग योजना है
44	translate hindi to english	उन्होंने दावा किया,‘‘ जब आप गाय के लिए (ट्रेन) रोकते हैं, कोई ट्रैक पर बैठा पाया गया तो उसके खिलाफ प्राथमिकी दर्ज की जाती है।	"""""""When you stop (the train) for cow, you even get an FIR registered if someone is found sitting on a track."""
45	translate english to hindi	"""""""When you stop (the train) for cow, you even get an FIR registered if someone is found sitting on a track."""	उन्होंने दावा किया,‘‘ जब आप गाय के लिए (ट्रेन) रोकते हैं, कोई ट्रैक पर बैठा पाया गया तो उसके खिलाफ प्राथमिकी दर्ज की जाती है।
46	translate hindi to english	देश के नागरिकों के मध्य अनेकता में एकता की सोच को मजबूत करना और प्रत्येक वर्ष 19 से 25 नवम्बर तक देश में मनाए जाने वाले साम्प्रदायिक सौहार्द्र अभियान में क्रियात्मक रूप से भाग लेना।	to strengthen the sense of unity in diversity amongst citizens of the country and to take active participation in the Communal Harmony Campaign Week from 19th-25th of November observed by NFCH every year in the country.
47	translate english to hindi	to strengthen the sense of unity in diversity amongst citizens of the country and to take active participation in the Communal Harmony Campaign Week from 19th-25th of November observed by NFCH every year in the country.	देश के नागरिकों के मध्य अनेकता में एकता की सोच को मजबूत करना और प्रत्येक वर्ष 19 से 25 नवम्बर तक देश में मनाए जाने वाले साम्प्रदायिक सौहार्द्र अभियान में क्रियात्मक रूप से भाग लेना।
48	translate hindi to english	निर्माण-योजना के अनुसार पुराना किला 2 कि.मी. के घेरे में फैला दीर्घायान किला है जिसका पूर्वी और पश्‍चिमी भाग बड़ा है।	On plan the Purana-Qala is irregularly oblong with a circuit of 2 km., with its longer sides on the east and west.
49	translate english to hindi	On plan the Purana-Qala is irregularly oblong with a circuit of 2 km., with its longer sides on the east and west.	निर्माण-योजना के अनुसार पुराना किला 2 कि.मी. के घेरे में फैला दीर्घायान किला है जिसका पूर्वी और पश्‍चिमी भाग बड़ा है।
50	translate hindi to english	क्योंकि मैं एक ट्रेड यूनियनिस्ट नहीं था।	because I was not a trade unionist.
51	translate english to hindi	because I was not a trade unionist.	क्योंकि मैं एक ट्रेड यूनियनिस्ट नहीं था।
52	translate hindi to english	और तुम्हारे उस गुमान ने तुम्हे बरबाद किया जो तुमने अपने रब के साथ किया. अतः तुम घाटे में पड़कर रहे	"""And that was your assumption which you assumed about your Lord. It has brought you to ruin, and you have become among the losers. """""""
53	translate english to hindi	"""And that was your assumption which you assumed about your Lord. It has brought you to ruin, and you have become among the losers. """""""	और तुम्हारे उस गुमान ने तुम्हे बरबाद किया जो तुमने अपने रब के साथ किया. अतः तुम घाटे में पड़कर रहे
54	translate hindi to english	वह भारत विभाजन के विरुद्ध थे।	He was against the partition of India.
55	translate english to hindi	He was against the partition of India.	वह भारत विभाजन के विरुद्ध थे।
56	translate hindi to english	गर्मियों के दौरान ब्रायंट बास्केटबॉल की समर लीग में खेलने के लिए अमेरिका वापिस आते थे।	During summers, Bryant would come back to the United States to play in a basketball summer league.
57	translate english to hindi	During summers, Bryant would come back to the United States to play in a basketball summer league.	गर्मियों के दौरान ब्रायंट बास्केटबॉल की समर लीग में खेलने के लिए अमेरिका वापिस आते थे।
58	translate hindi to english	लोकसभा चुनाव-2019 में हरियाणा के 10 संसदीय क्षेत्रों के 90 हल्कों में से 79 पर बीजेपी को बढ़त थी	In the Haryana Assembly elections 2014, the BJP won 47 of the 90 seats and wrested power from Congress
59	translate english to hindi	In the Haryana Assembly elections 2014, the BJP won 47 of the 90 seats and wrested power from Congress	लोकसभा चुनाव-2019 में हरियाणा के 10 संसदीय क्षेत्रों के 90 हल्कों में से 79 पर बीजेपी को बढ़त थी
60	translate hindi to english	राजेश तलवार ने गाजियाबाद की अदालत के उस जमानती वारंट के खिलाफ याचिका दायर की है जिसमें उन्हें और उनकी पत्नी नूपुर तलवार के खिलाफ उनकी पुत्री आरूषि और नौकर हेमराज की हत्या के लिए वारंट जारी किया गया है।	The Allahabad High Court today turned down two petitions of Rajesh Talwar and his wife Nupur against the CBI court's order to charge them for murders of their daughter Aarushi and domestic help Hemraj.
61	translate english to hindi	The Allahabad High Court today turned down two petitions of Rajesh Talwar and his wife Nupur against the CBI court's order to charge them for murders of their daughter Aarushi and domestic help Hemraj.	राजेश तलवार ने गाजियाबाद की अदालत के उस जमानती वारंट के खिलाफ याचिका दायर की है जिसमें उन्हें और उनकी पत्नी नूपुर तलवार के खिलाफ उनकी पुत्री आरूषि और नौकर हेमराज की हत्या के लिए वारंट जारी किया गया है।
62	translate hindi to english	पाकिस्तान के पूर्व प्रधानमंत्री नवाज़ शरीफ़, उनकी बेटी मरयम नवाज़ और दामाद मुहम्मद सफ़दर इस्लामाबाद जेल से रिहा हो कर लाहौर पहुंच गए।	Pakistans jailed former prime minister Nawaz Sharif, his daughter Maryam and son-in-law Capt (retd) Muhammad Safdar reached Lahore to attend the funeral of Begum Kulsoom Nawaz
63	translate english to hindi	Pakistans jailed former prime minister Nawaz Sharif, his daughter Maryam and son-in-law Capt (retd) Muhammad Safdar reached Lahore to attend the funeral of Begum Kulsoom Nawaz	पाकिस्तान के पूर्व प्रधानमंत्री नवाज़ शरीफ़, उनकी बेटी मरयम नवाज़ और दामाद मुहम्मद सफ़दर इस्लामाबाद जेल से रिहा हो कर लाहौर पहुंच गए।
64	translate hindi to english	पांच साल बाकी है, बहुत से संकल्‍प बाकी है, बहुत से प्रयास बाकी है, बहुत परिश्रम बाकी है	Five years left. many resolutions are to be accomplished. a lot of efforts are to be made. a lot of hard work still to be done
65	translate english to hindi	Five years left. many resolutions are to be accomplished. a lot of efforts are to be made. a lot of hard work still to be done	पांच साल बाकी है, बहुत से संकल्‍प बाकी है, बहुत से प्रयास बाकी है, बहुत परिश्रम बाकी है
66	translate hindi to english	मैं जैसी हूं मुझे अपने आप से वैसे ही प्‍यार है.	I love myself the way I am.
67	translate english to hindi	I love myself the way I am.	मैं जैसी हूं मुझे अपने आप से वैसे ही प्‍यार है.
68	translate hindi to english	देश में कोरोना पॉजिटिव संख्या 9304 है, जबकि प्रदेश में 174 नए मामले आए हैं।	Tope said the number of coronavirus positive patients in the state has increased to 64 with 12 new cases.
69	translate english to hindi	Tope said the number of coronavirus positive patients in the state has increased to 64 with 12 new cases.	देश में कोरोना पॉजिटिव संख्या 9304 है, जबकि प्रदेश में 174 नए मामले आए हैं।
70	translate hindi to english	मिताली ट्वेंटी-ट्वेंटी क्रिकेट में दो हजार रन बनाने वाली पहली भारतीय महिला क्रिकेटर हैं।	Mithali is also the first Indian woman to reach the landmark of 2000 T20 runs.
71	translate english to hindi	Mithali is also the first Indian woman to reach the landmark of 2000 T20 runs.	मिताली ट्वेंटी-ट्वेंटी क्रिकेट में दो हजार रन बनाने वाली पहली भारतीय महिला क्रिकेटर हैं।
72	translate hindi to english	‘एडीएमएम प्लस' बैठक के एजेंडे के तहत सिंह म्यामांर के रक्षा मंत्री लेफ्टिनेंट जनरल सीन विन के साथ मिलकर ‘हैंडबुक ऑन मिलिट्री मेडिसीन फोर आसियान (दक्षिणपूर्व एशियाई देशों का संघ)' भी जारी करेंगे.	"""As part of the agenda for the ADMM-Plus meeting, Singh will also release a """"Handbook on Military Medicine for ASEAN (Association of Southeast Asian Nations)"""" along with Myanmar Defence Minister Lieutenant General Sein Win."""
73	translate english to hindi	"""As part of the agenda for the ADMM-Plus meeting, Singh will also release a """"Handbook on Military Medicine for ASEAN (Association of Southeast Asian Nations)"""" along with Myanmar Defence Minister Lieutenant General Sein Win."""	‘एडीएमएम प्लस' बैठक के एजेंडे के तहत सिंह म्यामांर के रक्षा मंत्री लेफ्टिनेंट जनरल सीन विन के साथ मिलकर ‘हैंडबुक ऑन मिलिट्री मेडिसीन फोर आसियान (दक्षिणपूर्व एशियाई देशों का संघ)' भी जारी करेंगे.
74	translate hindi to english	लेकिन फिर भी मैं अपनी पूरी कोशिश करता हूं.	But I am trying my best.
75	translate english to hindi	But I am trying my best.	लेकिन फिर भी मैं अपनी पूरी कोशिश करता हूं.
76	translate hindi to english	पूरी दुनिया में भारत कपास का दूसरा सबसे बड़ा निर्यातक भी है और कपास के रकबे के मामले में भी इसे अग्रणी स्थान हासिल है।	India is the worlds second-biggest producer of rice and wheat, the top grower of cotton and the biggest importer of palm oils.
77	translate english to hindi	India is the worlds second-biggest producer of rice and wheat, the top grower of cotton and the biggest importer of palm oils.	पूरी दुनिया में भारत कपास का दूसरा सबसे बड़ा निर्यातक भी है और कपास के रकबे के मामले में भी इसे अग्रणी स्थान हासिल है।
78	translate hindi to english	पटेल 1996-1997 के दौरान आईएमएफ से प्रतिनियुक्ति पर भारत आए थे और ऋण बाजार के विकास, बैंकिंग सुधार, पेंशन सुधार और विदेशी मुद्रा बाजार के विकास के लिए सलाहकार का कार्य किया था।	Patel was on deputation from the IMF to RBI during 1996-1997, and in that capacity he provided advice on development of the debt market, banking reforms, pension reforms, and evolution of the foreign exchange market.
79	translate english to hindi	Patel was on deputation from the IMF to RBI during 1996-1997, and in that capacity he provided advice on development of the debt market, banking reforms, pension reforms, and evolution of the foreign exchange market.	पटेल 1996-1997 के दौरान आईएमएफ से प्रतिनियुक्ति पर भारत आए थे और ऋण बाजार के विकास, बैंकिंग सुधार, पेंशन सुधार और विदेशी मुद्रा बाजार के विकास के लिए सलाहकार का कार्य किया था।
80	translate hindi to english	मध्‍य प्रदेश, गुजरात और केरल अन्‍य राज्‍य है जिन्होंने इन पैमाने पर अच्‍छा प्रदर्शन किया।	Madhya Pradesh, Gujarat and Kerela are other states that have performed well in all these indicators and well above the all India average.
81	translate english to hindi	Madhya Pradesh, Gujarat and Kerela are other states that have performed well in all these indicators and well above the all India average.	मध्‍य प्रदेश, गुजरात और केरल अन्‍य राज्‍य है जिन्होंने इन पैमाने पर अच्‍छा प्रदर्शन किया।
82	translate hindi to english	सामासिक संस्कृति	composite culture
83	translate english to hindi	composite culture	सामासिक संस्कृति
84	translate hindi to english	बिंदु संप्रतीक प्रिंटर	Dot - character printer
85	translate english to hindi	Dot - character printer	बिंदु संप्रतीक प्रिंटर
86	translate hindi to english	सुब्बीरामी रेड्डी और वी. हनुमंत राव के लोकसभा का टिकट दिए जाने की मांग को खारिज कर दिया है।	The Congress has decided to retain a majority of the sitting MPs and rejected Rajya Sabha members T. Subbirami Reddy and V. Hanumantha Rao's demand for Lok Sabha tickets
87	translate english to hindi	The Congress has decided to retain a majority of the sitting MPs and rejected Rajya Sabha members T. Subbirami Reddy and V. Hanumantha Rao's demand for Lok Sabha tickets	सुब्बीरामी रेड्डी और वी. हनुमंत राव के लोकसभा का टिकट दिए जाने की मांग को खारिज कर दिया है।
88	translate hindi to english	ख़ुदा का फज़ल है जिसको चाहता है अता फरमाता है और ख़ुदा तो बड़े फज़ल (व करम) का मालिक है	That is the bounty of Allah, which He gives to whom He wills, and Allah is the possessor of great bounty.
89	translate english to hindi	That is the bounty of Allah, which He gives to whom He wills, and Allah is the possessor of great bounty.	ख़ुदा का फज़ल है जिसको चाहता है अता फरमाता है और ख़ुदा तो बड़े फज़ल (व करम) का मालिक है
90	translate hindi to english	Saaho Song Psycho Saiyaan Out साहो में Prabhas और Shraddha Kapoor के अलावा नील नितिन मुकेश जैकी श्रॉफ मंदिरा बेदी महेश मांजरेकर और मुरली शर्मा की अहम भूमिका हैंl	Apart from Prabhas and Shraddha, Saaho also stars Neil Nitin Mukesh, Chunky Panday, Jackie Shroff and Mandira Bedi in pivotal roles.
91	translate english to hindi	Apart from Prabhas and Shraddha, Saaho also stars Neil Nitin Mukesh, Chunky Panday, Jackie Shroff and Mandira Bedi in pivotal roles.	Saaho Song Psycho Saiyaan Out साहो में Prabhas और Shraddha Kapoor के अलावा नील नितिन मुकेश जैकी श्रॉफ मंदिरा बेदी महेश मांजरेकर और मुरली शर्मा की अहम भूमिका हैंl
92	translate hindi to english	फिर उन्हों ने कहा, बचे हुए बिन्यामीनियों के लिये कोई भाग चाहिये, ऐसा न हो कि इस्राएल में से एक गोत्रा मिट जाए।	"""They said, """"There must be an inheritance for those who are escaped of Benjamin, that a tribe not be blotted out from Israel."""
93	translate english to hindi	"""They said, """"There must be an inheritance for those who are escaped of Benjamin, that a tribe not be blotted out from Israel."""	फिर उन्हों ने कहा, बचे हुए बिन्यामीनियों के लिये कोई भाग चाहिये, ऐसा न हो कि इस्राएल में से एक गोत्रा मिट जाए।
94	translate hindi to english	हम पारस्परिकता में विश्वास करते हैं।	We believe in partnerships.
95	translate english to hindi	We believe in partnerships.	हम पारस्परिकता में विश्वास करते हैं।
96	translate hindi to english	इस दौरान दक्षिणी और पश्चिम दिशा से आने वाली हवा राजस्थान होते हुए हरियाणा तक पहुंचेगी।	During this period, southwesterly winds from the Arabian Sea and easterly winds from the Bay of Bengal will reach Haryana, Delhi-NCR, west Uttar Pradesh and northeast Rajasthan.
97	translate english to hindi	During this period, southwesterly winds from the Arabian Sea and easterly winds from the Bay of Bengal will reach Haryana, Delhi-NCR, west Uttar Pradesh and northeast Rajasthan.	इस दौरान दक्षिणी और पश्चिम दिशा से आने वाली हवा राजस्थान होते हुए हरियाणा तक पहुंचेगी।
98	translate hindi to english	फिल्म में मृणाल ठाकुर, पंकज त्रिपाठी जैसे मंजे हुए कलाकार मुख्य रोल में थे।	The film also starred Mrunal Thakur and Pankaj Tripathi in important roles.
99	translate english to hindi	The film also starred Mrunal Thakur and Pankaj Tripathi in important roles.	फिल्म में मृणाल ठाकुर, पंकज त्रिपाठी जैसे मंजे हुए कलाकार मुख्य रोल में थे।
100	translate hindi to english	पुलिस ने आरोपी ट्रक चालक के खिलाफ मामला दर्ज करके जांच प्रारंभ की है।	The police registered the case against the truck drivers and started the investigation.
101	translate english to hindi	The police registered the case against the truck drivers and started the investigation.	पुलिस ने आरोपी ट्रक चालक के खिलाफ मामला दर्ज करके जांच प्रारंभ की है।
102	translate hindi to english	इसके बजाय, हमें अपने सिरजनहार और उसकी मरज़ी के बारे में सही ज्ञान होना चाहिए ।	Elsewhere in his writings, Paul linked conduct that has Gods approval with our eager acquisition of knowledge.
103	translate english to hindi	Elsewhere in his writings, Paul linked conduct that has Gods approval with our eager acquisition of knowledge.	इसके बजाय, हमें अपने सिरजनहार और उसकी मरज़ी के बारे में सही ज्ञान होना चाहिए ।
104	translate hindi to english	एक अंधेरी, धुँध भरी रात में हवाई जहाज़ उड़ाते हुए, चालक किस तरह देख सकता है कि वह कहाँ जा रहा है?	FLYING an airplane on a dark, foggy night, how can the pilot see where he is going?
105	translate english to hindi	FLYING an airplane on a dark, foggy night, how can the pilot see where he is going?	एक अंधेरी, धुँध भरी रात में हवाई जहाज़ उड़ाते हुए, चालक किस तरह देख सकता है कि वह कहाँ जा रहा है?
106	translate hindi to english	दुनिया भर में उसकी प्रतिक्रिया हुई.	It sparked worldwide reactions.
107	translate english to hindi	It sparked worldwide reactions.	दुनिया भर में उसकी प्रतिक्रिया हुई.
108	translate hindi to english	भारतीय क्रिकेट कंट्रोल बोर्ड (बीसीसीआई) ने उनके अनबंध पर रोक लगा दी थी.	Earlier, he was banned by the Board of Control for Cricket in India (BCCI).
109	translate english to hindi	Earlier, he was banned by the Board of Control for Cricket in India (BCCI).	भारतीय क्रिकेट कंट्रोल बोर्ड (बीसीसीआई) ने उनके अनबंध पर रोक लगा दी थी.
110	translate hindi to english	अमरीका 1,65,827 मीट्रिक टन के साथ फ्रोजन झींगा के लिए सबसे बड़ा आयात बाजार रहा। इसके बाद यूरोपीय संघ (77,178 मीट्रिक टन), दक्षिण पूर्व एशिया (1, 05,763 मीट्रिक टन), जापान (31,284 मीट्रिक टन), मध्य पूर्व (19,554 मीट्रिक टन), चीन (7818 मीट्रिक टन) और अन्य देशों में (27,063 मीट्रिक टन) रहा।	USA was the largest import market for frozen shrimp (1, 65,827 MT), followed by the EU (77,178 MT), South East Asia (1, 05,763 MT), Japan (31,284 MT), Middle East (19,554 MT), China (7818 MT) and other countries (27,063 MT).
111	translate english to hindi	USA was the largest import market for frozen shrimp (1, 65,827 MT), followed by the EU (77,178 MT), South East Asia (1, 05,763 MT), Japan (31,284 MT), Middle East (19,554 MT), China (7818 MT) and other countries (27,063 MT).	अमरीका 1,65,827 मीट्रिक टन के साथ फ्रोजन झींगा के लिए सबसे बड़ा आयात बाजार रहा। इसके बाद यूरोपीय संघ (77,178 मीट्रिक टन), दक्षिण पूर्व एशिया (1, 05,763 मीट्रिक टन), जापान (31,284 मीट्रिक टन), मध्य पूर्व (19,554 मीट्रिक टन), चीन (7818 मीट्रिक टन) और अन्य देशों में (27,063 मीट्रिक टन) रहा।
112	translate hindi to english	"""""""उन्होंने कहा, """"""""मैं भारत-अमेरिका संबंधों को अधिक से अधिक ऊंचाइयों पर ले जाने के लिए एक साथ मिलकर काम करने की आशा करता हूं।"""""""	I look forward to working closely together once again to take India-US relations to greater heights.
113	translate english to hindi	I look forward to working closely together once again to take India-US relations to greater heights.	"""""""उन्होंने कहा, """"""""मैं भारत-अमेरिका संबंधों को अधिक से अधिक ऊंचाइयों पर ले जाने के लिए एक साथ मिलकर काम करने की आशा करता हूं।"""""""
114	translate hindi to english	अगले 6 महीने में इस काम को पूरा करने का दावा किया जा रहा है।	The construction work of the project is expected to be completed in the next six months, he added.
115	translate english to hindi	The construction work of the project is expected to be completed in the next six months, he added.	अगले 6 महीने में इस काम को पूरा करने का दावा किया जा रहा है।
116	translate hindi to english	क्या मुझे इस फंड को बेच देना चाहिए या इसमें निवेश बनाए रखना चाहिए?	Should I sell this fund or hold on to it?
117	translate english to hindi	Should I sell this fund or hold on to it?	क्या मुझे इस फंड को बेच देना चाहिए या इसमें निवेश बनाए रखना चाहिए?
118	translate hindi to english	आइए सोनिया की मिसाल लें जो सेनेगल में मिशनरी सेवा कर रही है ।	Consequently, does it not make more sense to cultivate love for God and for people than it does to pursue the things of the world, which are at best only temporary?
119	translate english to hindi	Consequently, does it not make more sense to cultivate love for God and for people than it does to pursue the things of the world, which are at best only temporary?	आइए सोनिया की मिसाल लें जो सेनेगल में मिशनरी सेवा कर रही है ।
120	translate hindi to english	और सुबह सवेरे ही उन पर अज़ाब आ गया जो किसी तरह टल ही नहीं सकता था	And assuredly there met them early in the morning a torment settled.
121	translate english to hindi	And assuredly there met them early in the morning a torment settled.	और सुबह सवेरे ही उन पर अज़ाब आ गया जो किसी तरह टल ही नहीं सकता था
122	translate hindi to english	तो, हमारे पास है जहाँ .	So, this was where we left with.
